year,four_year,two_year
1969,5402.885028,1979.941174
1970,5636.832053,1847.384305
1971,5777.436264,1770.912064
1972,5930.658309,1719.014134
1973,6260.934504,1889.790042
1974,5955.553135,1986.82721
1975,5489.388162,1783.979029
1976,5457.311096,1511.408971
1977,5854.637292,1660.480727
1978,5815.274003,1702.884466
1979,5750.591663,1691.701953
1980,5496.195317,1638.277555
1981,5465.207838,1712.165111
1982,5715.645992,1766.874045
1983,6147.294721,1938.506141
1984,6493.653651,2023.515114
1985,6846.054058,2189.594809
1986,7216.334428,2302.639917
1987,7713.155555,2274.852881
1988,7792.665074,1970.070788
1989,8080.143924,2279.262358
1990,8440.624932,2171.794497
1991,8442.681912,2290.193383
1992,8948.642678,2426.64981
1993,9403.038245,2524.2459
1994,9873.69349,2697.835273
1995,10108.24733,2789.38358
1996,10561.64124,2778.7016
1997,10858.85312,2738.484699
1998,11073.20354,2954.693246
1999,11522.7976,2957.160142
2000,11728.65422,2878.406859
2001,11873.5232,2735.242166
2002,12323.00432,2848.450589
2003,12867.17456,2947.523775
2004,13683.30877,3295.459994
2005,14279.65512,3439.549421
2006,14567.91164,3425.383146
2007,15101.22819,3448.274169
2008,15260.06772,3351.767492
2009,15826.03828,3438.287695
2010,16140.81426,3803.793573
2011,16513.55971,3902.980915
2012,16820.02003,4020.556127
2013,17187.61795,4049.027014
2014,17479.13923,4043.838702
2015,17822.55743,4038.636268
2016,18160.25957,4038.149443
2017,18028.45293,4089.770651
2018,18098.63441,4020.708955
2019,18168.52107,3967.451844
2020,18251.06596,3970.776969
2021,17806.06448,4053.289076
2022,17251.35005,3859.286284
